pool_address,token_x_mint,token_y_mint,bin_step,active_bin_id,raw_name_or_symbol_if_available,source,fetched_at_utc
5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4,-6868,SOL-USDC,meteora_api,2026-06-07T05:15:10.594Z
9p3aRWnbu5vAmHXvsToMGfwmbkTJSwGr5G5xxSxmkB8N,CWZ6BsdnjkDVTGkmL6bGbJXXig6ceef12KvyGQW14cMt,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,80,-490,ANTFUN-USDT,meteora_api,2026-06-07T05:15:10.594Z
ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,20,-1412,HYPE-USDC,meteora_api,2026-06-07T05:15:10.594Z
7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4,16072,cbBTC-USDC,meteora_api,2026-06-07T05:15:10.594Z
HcCbiQqc55uHtP2MJu7BYdVPi9s4j45R4zXcwRmJgCXX,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5,-5494,SOL-USDC,meteora_api,2026-06-07T05:15:10.594Z
BGm1tav58oGcsQJehL9WXBFXF7D27vZsKefj4xJKD5Y,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10,-2748,SOL-USDC,meteora_api,2026-06-07T05:15:10.594Z
GXWPY1XD7NMmH7UTy6FJArvnkzh4mmRf8bEYLxVZpjDp,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,16,4021,cbBTC-USDC,meteora_api,2026-06-07T05:15:10.594Z
9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,20,667,ZEC-USDC,meteora_api,2026-06-07T05:15:10.594Z
4zQTE5nVDtykQavfRh2u5Fy6c9G2mzvX5n1qqAzAoswM,So11111111111111111111111111111111111111112,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,10,-2748,SOL-USD1,meteora_api,2026-06-07T05:15:10.594Z
81GpCm4d13y8TozYtThabuSCLQN2o3bbrvDogXFPn8sA,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,So11111111111111111111111111111111111111112,20,-38,HYPE-SOL,meteora_api,2026-06-07T05:15:10.594Z
